date,confirm,dead,heal,newAddConfirm,deadRate,healRate
2020/11/4,12013036,331827,6808872,436038,2.76,56.68
2020/11/5,12146905,334638,6864721,529224,2.75,56.51
2020/11/6,12274169,336130,6913174,581635,2.74,56.32
2020/11/7,12435749,337754,6963910,555829,2.72,56
2020/11/8,12559981,338781,7014446,441665,2.7,55.85
2020/11/9,12665643,339292,7056122,677759,2.68,55.71
2020/11/10,12837310,340484,7125312,427522,2.65,55.5
2020/11/11,12991933,342246,7174033,490450,2.63,55.22
2020/11/12,13160475,344193,7221381,579216,2.62,54.87
2020/11/13,13347556,345737,7300822,628100,2.59,54.7
2020/11/14,13545724,347435,7361848,657280,2.56,54.35
2020/11/15,13707398,348716,7463717,593976,2.54,54.45
2020/11/16,13847739,349292,7508332,528881,2.52,54.22
2020/11/17,14048708,350595,7592006,456727,2.5,54.04
2020/11/18,14219521,352634,7660498,536210,2.48,53.87
2020/11/19,14404946,354984,7739698,594519,2.46,53.73
2020/11/20,14633527,357315,7816190,620713,2.44,53.41
2020/11/21,14852697,359593,7889025,641625,2.42,53.12
2020/11/22,15028637,361100,7976549,604883,2.4,53.08
2020/11/23,15166632,362006,8025242,542672,2.39,52.91
2020/11/24,15372831,363509,8121642,463634,2.36,52.83
2020/11/25,15557885,366250,8209386,527241,2.35,52.77
2020/11/26,15749346,368947,8377982,577087,2.34,53.2
2020/11/27,15875272,370620,8419574,441069,2.33,53.04
2020/11/28,16089198,372385,8518284,746970,2.31,52.94
2020/11/29,16245301,373613,8613941,564709,2.3,53.02
2020/11/30,16385348,374431,8679905,496756,2.29,52.97
2020/12/1,16573567,376092,8795581,453058,2.27,53.07
2020/12/2,16770444,379178,8905720,491329,2.26,53.1
2020/12/3,16985226,382340,9035049,591303,2.25,53.19
2020/12/4,17217539,385558,9134129,628484,2.24,53.05
2020/12/5,17460432,388493,9231584,645098,2.22,52.87
2020/12/6,17671322,390768,9360440,605089,2.21,52.97
2020/12/7,17847426,391849,9428295,549813,2.2,52.83
2020/12/8,18073498,393780,9554948,494654,2.18,52.87
2020/12/9,18296161,396735,9659771,546586,2.17,52.8
2020/12/10,18534267,400408,9799113,644585,2.16,52.87
2020/12/11,18762531,403727,9903567,692035,2.15,52.78
2020/12/12,19025649,407065,10080121,656081,2.14,52.98
2020/12/13,21644061,464456,10391370,649324,2.15,48.01
2020/12/14,21831962,465833,10471484,574855,2.13,47.96
2020/12/15,22058114,467852,10618708,496053,2.12,48.14
2020/12/16,22268523,471219,10754898,585343,2.12,48.3
2020/12/17,22528440,474923,10917780,642642,2.11,48.46
2020/12/18,22785659,478455,11038102,711358,2.1,48.44
2020/12/19,23059057,481521,11141331,700757,2.09,48.32
2020/12/20,23248472,484077,11292490,808088,2.08,48.57
2020/12/21,23438283,485545,11369127,575451,2.07,48.51
2020/12/22,23657082,487782,11549541,523965,2.06,48.82
2020/12/23,23876538,492094,11692142,570275,2.06,48.97
2020/12/24,24118282,495666,11848911,662749,2.06,49.13
2020/12/25,24334192,498640,11966168,654956,2.05,49.17
2020/12/26,24433032,499837,12004756,401095,2.05,49.13
2020/12/27,24656713,501495,12157546,434695,2.03,49.31
2020/12/28,24796713,502712,12242920,441768,2.03,49.37
2020/12/29,25028952,505054,12443772,444341,2.02,49.72
2020/12/30,25237017,508771,12591517,563904,2.02,49.89
2020/12/31,25491362,513217,12745839,691937,2.01,50
2021/1/1,25735628,516802,12872851,469957,2.01,50.02
2021/1/2,25907320,519032,12922886,0,2,49.88
2021/1/3,26194675,521269,13108432,740156,1.99,50.04
2021/1/4,26403502,522665,13184003,583829,1.98,49.93
2021/1/5,26665151,524951,13483557,541722,1.97,50.57
2021/1/6,26914406,528800,13609261,585491,1.96,50.56
2021/1/7,27193416,533170,13771187,735854,1.96,50.64
2021/1/8,27510205,537549,13890362,800069,1.95,50.49
2021/1/9,27860518,541773,14006994,799631,1.94,50.28
2021/1/10,28103554,545104,14140123,790325,1.94,50.31
2021/1/11,28320950,546899,14230535,660859,1.93,50.25
2021/1/12,28608235,549274,14427506,566084,1.92,50.43
2021/1/13,28858701,554032,14563073,593230,1.92,50.46
2021/1/14,29145690,558556,14722081,697301,1.92,50.51
2021/1/15,29413633,562823,14859164,709692,1.91,50.52
2021/1/16,29707849,566920,14976014,687846,1.91,50.41
2021/1/17,29911463,570325,15090689,683212,1.91,50.45
2021/1/18,30087470,572266,15175396,588156,1.9,50.44
2021/1/19,30316083,574139,15298730,311970,1.89,50.46
2021/1/20,30533839,577443,15533931,496041,1.89,50.87
2021/1/21,30764549,582281,15715761,610190,1.89,51.08
2021/1/22,31109929,587076,15848036,624178,1.89,50.94
2021/1/23,31346770,591368,15969764,600614,1.89,50.95
2021/1/24,31523517,594826,16077994,577141,1.89,51
2021/1/25,31658853,596681,16156684,513905,1.88,51.03
2021/1/26,31912147,599350,16364405,410003,1.88,51.28
2021/1/27,32098207,604001,16514458,468676,1.88,51.45
2021/1/28,32293471,608558,16689802,561903,1.88,51.68
2021/1/29,32484223,613325,16817172,570895,1.89,51.77
2021/1/30,32695927,617528,16946617,500893,1.89,51.83
2021/1/31,32839474,620450,17075995,501824,1.89,52
2021/2/1,32950963,622348,17150888,26,1.89,52.05